name,restaurant_reference,is_live,visible,effective_tax_pct,menu_count,item_count,order_count,multi_unit_link_slug,run,converted_at_utc
BurgerFi - St Johns Town Center,80cb21f2-275a-4dac-98a2-b0e95c07ea3a,true,true,7.5,1,18,2,burgerfi,mass run,2026-09-09T01:50:55.654Z
Cafe Landwer - Century City,c08b87eb-1006-42ad-901b-9cc4f02f5fdc,false,false,9.5,1,37,1,,mass run,2026-09-09T01:12:21.790Z
Cafe Landwer - Cleveland Circle,1c2df9c7-141d-40a8-a712-635e026f5155,true,true,6.25,1,88,1,cafelandwer,mass run,2026-09-09T01:13:35.054Z
Casa Nono,ea177c9e-25a1-4bd1-bf51-68cb51435bdd,false,false,8.875,1,29,1,,mass run,2026-09-09T01:13:44.223Z
Club Sandwich,d9073c43-ac9b-4950-9713-8cd6d4c7a5ed,true,true,8.129999999999999,1,38,1,,mass run,2026-09-09T01:13:52.539Z
Colette's Creations,47b2a215-2533-4bd0-9ada-aa297515902c,false,false,6.25,1,4,1,,named conversion,2026-09-09T12:54:42.555Z
Cookman Creamery,59da89e9-6b87-4a6f-9297-66fe38f1faf7,false,false,6.625,1,8,1,,mass run,2026-09-09T01:14:05.925Z
COPS,ddc862cc-78fe-494c-b461-e50c3d1157e7,true,true,8.875,1,25,1,,mass run,2026-09-09T01:14:25.933Z
Daily Chew Catering,3b7c7716-e128-4216-88ec-85736cae2c38,false,false,7.75,1,3,1,,mass run,2026-09-09T01:14:32.367Z
Deli-icious ,d1875c3b-4115-4340-a936-7da4669e6d8a,false,false,6.75,1,51,1,,mass run,2026-09-09T01:14:39.347Z
Eggstasy - Chandler,d1d6454c-c923-44f6-80cb-decc93f568f5,true,true,7.8,1,47,8,eggstasy,chain run,2026-09-09T11:44:43.664Z
Eggstasy - Mesa,ba317e04-b341-4c31-b942-cd411bf8a2bf,true,true,8.3,1,47,1,eggstasy,mass run,2026-09-09T01:14:47.474Z
Eggstasy - Norterra Ctr.,f718312a-03fb-4c63-895e-82ec09a8c843,true,true,9.1,1,47,10,eggstasy,chain run,2026-09-09T11:45:21.624Z
